10,2.730e-04,5.481e-06
11,2.725e-04,5.587e-06
13,2.714e-04,5.543e-06
15,2.724e-04,5.653e-06
17,2.711e-04,5.741e-06
20,2.719e-04,5.855e-06
23,2.715e-04,6.021e-06
26,2.714e-04,6.144e-06
30,2.718e-04,6.322e-06
35,2.736e-04,6.516e-06
40,2.735e-04,6.697e-06
46,2.767e-04,6.916e-06
53,2.775e-04,7.275e-06
61,2.824e-04,7.669e-06
70,2.825e-04,7.866e-06
81,2.778e-04,8.285e-06
93,2.783e-04,8.794e-06
107,2.788e-04,9.348e-06
123,2.800e-04,1.078e-05
141,2.890e-04,1.141e-05
162,2.898e-04,1.214e-05
187,2.920e-04,1.323e-05
215,2.970e-04,1.407e-05
247,2.952e-04,1.532e-05
284,2.977e-04,1.674e-05
327,3.018e-04,1.830e-05
376,3.042e-04,2.012e-05
432,3.074e-04,2.218e-05
497,3.093e-04,2.469e-05
572,3.229e-04,2.734e-05
657,3.278e-04,3.073e-05
756,3.339e-04,3.448e-05
869,3.408e-04,3.882e-05
1000,3.487e-04,4.379e-05
1149,3.617e-04,4.924e-05
1321,3.719e-04,5.567e-05
1519,3.835e-04,6.369e-05
1747,3.959e-04,7.223e-05
2009,4.090e-04,8.224e-05
2310,4.255e-04,9.389e-05
2656,4.443e-04,1.073e-04
3053,4.672e-04,1.231e-04
3511,4.904e-04,1.403e-04
4037,5.210e-04,1.608e-04
4641,5.520e-04,1.836e-04
5336,5.880e-04,2.106e-04
6135,6.328e-04,2.414e-04
7054,6.818e-04,2.766e-04
8111,7.408e-04,3.172e-04
9326,8.058e-04,3.663e-04
10722,8.932e-04,4.201e-04
12328,9.835e-04,4.818e-04
14174,1.073e-03,5.506e-04
16297,1.182e-03,6.335e-04
18738,1.313e-03,7.306e-04
21544,1.463e-03,8.431e-04
24770,1.631e-03,9.700e-04
28480,1.825e-03,1.115e-03
32745,2.142e-03,1.282e-03
37649,2.368e-03,1.474e-03
43287,2.866e-03,1.693e-03
49770,3.042e-03,1.949e-03
57223,3.733e-03,2.244e-03
65793,4.010e-03,2.581e-03
75646,4.945e-03,2.969e-03
86974,5.330e-03,3.425e-03
100000,7.203e-03,3.951e-03
114975,7.781e-03,4.567e-03
132194,9.597e-03,5.290e-03
151991,1.031e-02,6.116e-03
174752,1.254e-02,7.097e-03
200923,1.369e-02,8.233e-03
231012,1.664e-02,9.534e-03
265608,1.823e-02,1.105e-02
305385,2.277e-02,1.277e-02
351119,2.599e-02,1.470e-02
403701,3.013e-02,1.695e-02
464158,3.358e-02,1.968e-02
533669,3.961e-02,2.359e-02
613590,4.430e-02,2.754e-02
705480,5.297e-02,3.181e-02
811130,5.996e-02,3.701e-02
932603,7.131e-02,4.276e-02
1072267,8.574e-02,4.969e-02
1232846,9.890e-02,5.730e-02
1417474,1.152e-01,6.631e-02
1629750,1.343e-01,8.504e-02
1873817,1.740e-01,9.725e-02
2154434,2.059e-01,1.113e-01
2477076,2.396e-01,1.276e-01
2848035,2.655e-01,1.546e-01
3274549,3.130e-01,2.014e-01
3764935,3.588e-01,2.183e-01
4328761,4.307e-01,3.398e-01
4977023,4.930e-01,3.909e-01
5722367,5.628e-01,4.447e-01
6579332,6.486e-01,5.159e-01
7564633,7.425e-01,5.897e-01
8697490,8.540e-01,6.780e-01
10000000,9.813e-01,7.782e-01
